archetype,Windows,Peak Cooling (W),Simulation Tool
pro-A-NS,NC-2g-HG-u1.82,2800,OS/E+
pro-A-NS,NC-2g-MG-u1.65,1900,OS/E+
pro-A-NS,NC-3g-LG-u1.14,1600,OS/E+
pro-A-NS,NC-3g-MG-u1.08,1900,OS/E+
pro-A-NS,NC-3g-MG-u1.36,2000,OS/E+
pro-B-NS,base-window,1600,OS/E+
pro-B-NS,NC-2g-HG-u1.82,2100,OS/E+
pro-B-NS,NC-2g-MG-u1.65,1600,OS/E+
pro-B-NS,NC-3g-LG-u1.14,1400,OS/E+
pro-B-NS,NC-3g-MG-u1.08,1500,OS/E+
pro-B-NS,NC-3g-MG-u1.36,1600,OS/E+
pro-C-NS,base-window,2400,OS/E+
pro-C-NS,NC-2g-HG-u1.82,3700,OS/E+
pro-C-NS,NC-2g-MG-u1.65,2500,OS/E+
pro-C-NS,NC-3g-LG-u1.14,1900,OS/E+
pro-C-NS,NC-3g-MG-u1.08,2500,OS/E+
pro-C-NS,NC-3g-MG-u1.36,2500,OS/E+
pro-D-NS,base-window,2800,OS/E+
pro-D-NS,NC-2g-HG-u1.82,4400,OS/E+
pro-D-NS,NC-2g-MG-u1.65,2800,OS/E+
pro-D-NS,NC-3g-LG-u1.14,2200,OS/E+
pro-D-NS,NC-3g-MG-u1.08,2900,OS/E+
pro-D-NS,NC-3g-MG-u1.36,2900,OS/E+
ref-A,base-window,3200,OS/E+
ref-B,base-window,3200,OS/E+
ref-C,base-window,3700,OS/E+
ref-D,base-window,3900,OS/E+
